STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Uttar Pradesh,Gurha Buzurg,24.46,78.66,-4.03,-25.05,7.19
Uttar Pradesh,Sahatpur,24.48,78.74,-4.59,-37.1,-0.38
Uttar Pradesh,Uldana Kala,24.47,78.82,-5.62,-40.21,4.75
Uttar Pradesh,Gona,24.48,78.85,-5.57,-38.09,6.47
Uttar Pradesh,Bansa Bhamori,24.39,78.43,-5.1,-35.5,5.3
Uttar Pradesh,Richha,24.4,78.46,-4.9,-34.47,4.73
Uttar Pradesh,Narhat,24.4,78.54,-5.29,-39.64,2.68
Uttar Pradesh,Bhairanisuba,24.42,78.62,-5.3,-36.15,6.25
Uttar Pradesh,Godora,24.4,78.66,-4.25,-31.7,2.3
Uttar Pradesh,Deoran Khurd,24.42,78.73,-2.58,-19.93,0.71
Uttar Pradesh,Manikpur,24.42,78.8,-4.14,-30.12,3
Uttar Pradesh,Chuka,24.41,78.86,-5.35,-38.42,4.38
Uttar Pradesh,Karitoran,24.41,78.94,-4.55,-29.43,6.97
Uttar Pradesh,Sepura,24.35,78.39,-4.49,-33.22,2.7
Uttar Pradesh,Amjara,24.37,78.54,-5.33,-36.92,5.72
Uttar Pradesh,Dongra Khurd,24.37,78.62,-5.47,-38.08,5.68
Uttar Pradesh,Singarwara,24.36,78.66,-3.62,-26.14,2.82
Uttar Pradesh,Khiriya Latkan,24.35,78.73,-4.73,-34.24,3.6
Uttar Pradesh,Hansari,24.36,78.82,-5.24,-37.95,3.97
Uttar Pradesh,Gangchari,24.36,78.85,-4.55,-33.61,2.79
Uttar Pradesh,Balna,24.35,78.96,-4.95,-35.37,4.23
Uttar Pradesh,Balabehat,24.32,78.61,-4.7,-33.09,4.51
Uttar Pradesh,Nimkhera,24.3,78.68,-4.25,-29.66,4.34
Uttar Pradesh,Jalandhar,24.32,78.73,-5.39,-40.86,2.26
Uttar Pradesh,Uldana Khurd,24.29,78.8,-5.22,-35.37,6.39
Uttar Pradesh,Dhori,24.29,78.86,-5.88,-41.87,5.17
Uttar Pradesh,Madhanpur,24.25,78.7,-5.43,-36.43,7.01
Uttar Pradesh,Thangana,24.26,78.78,-5.28,-34.63,7.61
Uttar Pradesh,Budedaghat,25.91,78.9,-4.93,-36.56,2.88
Uttar Pradesh,Lohagad,25.92,78.99,-3.09,-27.85,-3.13
Uttar Pradesh,Imliya,25.91,79.04,-5.84,-40.66,6.06
Uttar Pradesh,Devgad,25.86,78.87,-5.36,-38.43,4.45
Uttar Pradesh,Sajokari,25.86,78.92,-4.15,-33.17,0.03
Uttar Pradesh,Sakin,25.89,78.95,-5.02,-38.15,2.01
Uttar Pradesh,Nari,25.88,79.09,-4.35,-33.49,1.31
Uttar Pradesh,Kharali,25.85,79.08,-4.98,-36.47,3.37
